Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,181,187,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,903,920,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,2316,2360,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,6598,6765,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,16398,16779,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,28310,28897,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,33867,34385,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,33721,34014,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,3,3,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,122297,124310,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,34,36,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,94,94,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,216,221,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,640,656,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,2457,2564,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,6039,6273,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,8263,8564,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,7443,7636,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,1,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,25187,26045,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,90,90,
